,PROTEIN
10019,ORF1a polyprotein
8881,surface glycoprotein
10059,surface glycoprotein
2424,ORF1a polyprotein
10451,ORF1a polyprotein
13048,ORF1a polyprotein
10173,ORF1ab polyprotein
4930,ORF3a protein
5462,ORF1ab polyprotein
11377,ORF4b protein
1353,ORF1ab polyprotein
8057,ORF1ab polyprotein
5305,ORF1ab polyprotein
12769,ORF5 protein
4622,ORF1ab polyprotein
3646,ORF1ab polyprotein
1509,ORF1ab polyprotein
6217,ORF1a polyprotein
4,ORF1ab polyprotein
6210,ORF1ab polyprotein
1740,ORF1a polyprotein
9296,ORF1ab polyprotein
5823,ORF1ab polyprotein
8701,ORF1a polyprotein
9783,ORF1a polyprotein
8274,ORF1a polyprotein
3925,surface glycoprotein
8952,ORF1ab polyprotein
2696,ORF1a polyprotein
3400,ORF1ab polyprotein
532,ORF1ab polyprotein
11321,envelope protein
9513,ORF3a protein
7746,ORF1a polyprotein
11215,surface glycoprotein
1285,ORF3a protein
129,surface glycoprotein
11470,nucleocapsid phosphoprotein
8842,ORF1ab polyprotein
10531,ORF1a polyprotein
5946,ORF1ab polyprotein
9143,surface glycoprotein
5925,ORF1a polyprotein
9929,ORF1a polyprotein
11145,ORF1a polyprotein
10371,ORF1a polyprotein
6192,ORF1ab polyprotein
10255,ORF1a polyprotein
12382,ORF1ab polyprotein
3177,ORF1ab polyprotein
11731,membrane glycoprotein
9079,membrane glycoprotein
10890,ORF1ab polyprotein
11014,ORF1ab polyprotein
9732,ORF1ab polyprotein
11034,ORF1a polyprotein
13173,ORF8b protein
3323,ORF1a polyprotein
3178,ORF1ab polyprotein
4594,ORF1a polyprotein
11421,ORF1a polyprotein
5768,ORF1a polyprotein
11873,ORF1ab polyprotein
8256,ORF1ab polyprotein
3045,ORF1ab polyprotein
4717,ORF1a polyprotein
4566,ORF1ab polyprotein
5316,ORF1a polyprotein
231,ORF1ab polyprotein
6714,ORF3a protein
9911,ORF1ab polyprotein
12036,surface glycoprotein
2147,ORF1a polyprotein
8357,ORF1ab polyprotein
4942,ORF1ab polyprotein
2663,ORF1a polyprotein
1028,ORF1a polyprotein
10813,ORF1ab polyprotein
8335,ORF1a polyprotein
673,ORF1a polyprotein
3444,surface glycoprotein
11522,surface glycoprotein
6459,ORF1a polyprotein
296,ORF1ab polyprotein
8216,ORF1ab polyprotein
1983,ORF1ab polyprotein
11574,ORF1ab polyprotein
12351,ORF1a polyprotein
1439,ORF1ab polyprotein
2892,ORF1ab polyprotein
12414,membrane glycoprotein
1508,ORF1a polyprotein
3630,ORF1ab polyprotein
3131,surface glycoprotein
9700,ORF1ab polyprotein
2255,ORF1ab polyprotein
9276,ORF1ab polyprotein
10759,nucleocapsid phosphoprotein
12736,ORF4a protein
3685,nucleocapsid phosphoprotein
2836,ORF1ab polyprotein
27,surface glycoprotein
6587,surface glycoprotein
7604,ORF1ab polyprotein
11095,ORF1a polyprotein
1325,ORF1ab polyprotein
12766,ORF5 protein
7635,ORF1ab polyprotein
8542,ORF1a polyprotein
3117,ORF1a polyprotein
12850,surface glycoprotein
12773,ORF5 protein
7109,ORF1ab polyprotein
6610,surface glycoprotein
7916,ORF1a polyprotein
10321,nucleocapsid phosphoprotein
7704,nucleocapsid phosphoprotein
11789,ORF1a polyprotein
6659,surface glycoprotein
6159,ORF1ab polyprotein
7384,ORF1ab polyprotein
9410,ORF1ab polyprotein
1144,ORF1ab polyprotein
12664,ORF1a polyprotein
1412,ORF1ab polyprotein
4953,nucleocapsid phosphoprotein
6026,ORF1ab polyprotein
12383,surface glycoprotein
8013,ORF1ab polyprotein
8956,ORF1ab polyprotein
11669,ORF1a polyprotein
11357,membrane glycoprotein
1083,surface glycoprotein
1831,surface glycoprotein
774,surface glycoprotein
6857,ORF1a polyprotein
10633,ORF1ab polyprotein
1728,surface glycoprotein
12448,nucleocapsid phosphoprotein
9678,surface glycoprotein
9274,ORF1ab polyprotein
9121,ORF1a polyprotein
1006,surface glycoprotein
12090,surface glycoprotein
1551,ORF1a polyprotein
4042,ORF1a polyprotein
8381,ORF1a polyprotein
10989,nucleocapsid phosphoprotein
11354,envelope protein
6923,ORF1a polyprotein
4947,ORF1ab polyprotein
775,ORF1ab polyprotein
9738,surface glycoprotein
8922,ORF1ab polyprotein
12023,nucleocapsid phosphoprotein
2098,surface glycoprotein
8593,surface glycoprotein
6432,ORF1a polyprotein
7235,ORF1ab polyprotein
5443,nucleocapsid phosphoprotein
8181,ORF1ab polyprotein
6841,ORF1ab polyprotein
7178,ORF1ab polyprotein
6709,ORF1ab polyprotein
7371,ORF1ab polyprotein
8288,ORF1ab polyprotein
12596,ORF1a polyprotein
3004,ORF1ab polyprotein
4591,ORF1ab polyprotein
237,ORF1ab polyprotein
2262,ORF1ab polyprotein
6623,surface glycoprotein
1664,surface glycoprotein
3542,ORF1ab polyprotein
8569,ORF1ab polyprotein
6690,ORF1ab polyprotein
1438,ORF1ab polyprotein
12120,ORF1ab polyprotein
1580,surface glycoprotein
6809,ORF1a polyprotein
7320,surface glycoprotein
5156,ORF1a polyprotein
2822,surface glycoprotein
10353,surface glycoprotein
7532,ORF1ab polyprotein
12209,ORF3 protein
9908,ORF1ab polyprotein
1373,ORF1ab polyprotein
8448,ORF1ab polyprotein
5956,ORF1ab polyprotein
5106,ORF1ab polyprotein
4155,ORF1ab polyprotein
1426,ORF1ab polyprotein
3602,ORF1a polyprotein
1636,ORF1ab polyprotein
6769,ORF1ab polyprotein
4665,ORF1ab polyprotein
5043,ORF1ab polyprotein
2380,ORF1a polyprotein
7305,ORF1ab polyprotein
6632,ORF1ab polyprotein
10743,ORF1ab polyprotein
1660,ORF1ab polyprotein
7706,surface glycoprotein
9026,nucleocapsid phosphoprotein
9462,ORF1ab polyprotein
8796,ORF1a polyprotein
2059,ORF1a polyprotein
7831,surface glycoprotein
2177,ORF1a polyprotein
11392,ORF1ab polyprotein
11806,ORF1ab polyprotein
11017,ORF1ab polyprotein
4307,ORF1ab polyprotein
5131,ORF1ab polyprotein
1978,ORF1a polyprotein
5969,ORF1a polyprotein
12530,ORF3 protein
11060,surface glycoprotein
5793,ORF3a protein
8671,surface glycoprotein
559,ORF1a polyprotein
10372,ORF1ab polyprotein
13135,ORF4a protein
