,Virus
4873,SARS_COV_2 
3626,SARS_COV_2 
3362,SARS_COV_2 
9828,SARS_COV_2 
1424,SARS_COV_2 
9094,SARS_COV_2 
10111,SARS_COV_2 
10128,SARS_COV_2 
4346,SARS_COV_2 
12443,MERS       
3934,SARS_COV_2 
10924,SARS_COV_2 
994,SARS_COV_2 
8879,SARS_COV_2 
502,SARS_COV_2 
8700,SARS_COV_2 
10271,SARS_COV_2 
4685,SARS_COV_2 
10547,SARS_COV_2 
3222,SARS_COV_2 
8016,SARS_COV_2 
5816,SARS_COV_2 
7042,SARS_COV_2 
4308,SARS_COV_2 
6749,SARS_COV_2 
11701,MERS       
7492,SARS_COV_2 
184,SARS_COV_2 
9903,SARS_COV_2 
5715,SARS_COV_2 
4063,SARS_COV_2 
8748,SARS_COV_2 
8115,SARS_COV_2 
4000,SARS_COV_2 
9669,SARS_COV_2 
11351,MERS       
717,SARS_COV_2 
9681,SARS_COV_2 
9805,SARS_COV_2 
12658,MERS       
1617,SARS_COV_2 
4189,SARS_COV_2 
4989,SARS_COV_2 
5457,SARS_COV_2 
3959,SARS_COV_2 
5266,SARS_COV_2 
699,SARS_COV_2 
8923,SARS_COV_2 
657,SARS_COV_2 
9997,SARS_COV_2 
154,SARS_COV_2 
8419,SARS_COV_2 
7410,SARS_COV_2 
945,SARS_COV_2 
11814,MERS       
3052,SARS_COV_2 
3017,SARS_COV_2 
11495,MERS       
5135,SARS_COV_2 
7513,SARS_COV_2 
6775,SARS_COV_2 
1914,SARS_COV_2 
7088,SARS_COV_2 
2985,SARS_COV_2 
6773,SARS_COV_2 
11990,MERS       
12029,MERS       
6622,SARS_COV_2 
11160,SARS_COV_2 
8698,SARS_COV_2 
4150,SARS_COV_2 
6584,SARS_COV_2 
5935,SARS_COV_2 
11681,MERS       
4833,SARS_COV_2 
7369,SARS_COV_2 
11493,MERS       
10571,SARS_COV_2 
6020,SARS_COV_2 
5709,SARS_COV_2 
6335,SARS_COV_2 
11471,MERS       
7882,SARS_COV_2 
4060,SARS_COV_2 
4337,SARS_COV_2 
11988,MERS       
980,SARS_COV_2 
9910,SARS_COV_2 
2529,SARS_COV_2 
854,SARS_COV_2 
2515,SARS_COV_2 
2860,SARS_COV_2 
4214,SARS_COV_2 
9077,SARS_COV_2 
12643,MERS       
6274,SARS_COV_2 
5887,SARS_COV_2 
